F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.27651      3.477       0.234       
0.27668      3.365       0.222       
0.27685      3.048       0.211       
0.27702      3.426       0.218       
0.27719      3.487       0.219       
0.27737      3.027       0.219       
0.27754      3.371       0.226       
0.27771      3.688       0.247       
0.27788      3.115       0.21        
0.27805      3.594       0.253       
0.27822      3.095       0.214       
0.27839      3.463       0.245       
0.27856      3.842       0.245       
0.27874      3.406       0.233       
0.27891      3.193       0.207       
0.27908      3.59        0.231       
0.27925      3.695       0.247       
0.27943      3.195       0.216       
0.2796       3.364       0.241       
0.27977      2.984       0.223       
0.27994      3.419       0.247       
0.28012      3.543       0.253       
0.28029      3.412       0.247       
0.28046      3.311       0.261       
0.28064      3.354       0.272       
0.28081      3.302       0.277       
0.28099      3.435       0.281       
0.28116      3.559       0.265       
0.28133      3.399       0.253       
0.28151      3.652       0.271       
0.28168      3.092       0.232       
0.28186      3.138       0.236       
0.28203      3.542       0.253       
0.28221      3.409       0.24        
0.28238      2.986       0.212       
0.28256      3.521       0.222       
0.28273      3.248       0.232       
0.28291      3.27        0.218       
0.28309      3.083       0.227       
0.28326      3.265       0.232       
0.28344      3.332       0.249       
0.28361      3.132       0.243       
0.28379      3.446       0.252       
0.28397      3.417       0.24        
0.28415      3.229       0.243       
0.28432      3.449       0.26        
0.2845       3.449       0.235       
0.28468      3.241       0.226       
0.28485      3.145       0.209       
0.28503      3.26        0.22        
0.28521      3.294       0.218       
0.28539      3.225       0.217       
0.28557      3.048       0.211       
0.28575      3.334       0.236       
0.28592      3.489       0.241       
0.2861       3.451       0.25        
0.28628      3.261       0.242       
0.28646      3.634       0.247       
0.28664      3.669       0.243       
0.28682      3.756       0.254       
0.287        3.168       0.22        
0.28718      3.42        0.22        
0.28736      3.239       0.222       
0.28754      3.506       0.225       
0.28772      3.679       0.252       
0.2879       3.377       0.234       
0.28808      3.01        0.227       
0.28826      3.011       0.227       
0.28844      3.363       0.236       
0.28862      3.485       0.238       
0.2888       3.257       0.217       
0.28899      3.44        0.214       
0.28917      3.37        0.207       
0.28935      3.237       0.208       
0.28953      3.288       0.209       
0.28971      3.443       0.227       
0.2899       3.319       0.221       
0.29008      3.251       0.236       
0.29026      3.357       0.233       
0.29044      3.495       0.229       
0.29063      3.609       0.236       
0.29081      3.507       0.229       
0.29099      3.497       0.224       
0.29118      3.399       0.236       
0.29136      2.927       0.22        
0.29154      3.004       0.219       
0.29173      3.233       0.226       
0.29191      3.646       0.229       
0.2921       3.597       0.236       
0.29228      2.914       0.201       
0.29247      3.43        0.225       
0.29265      4.006       0.256       
0.29284      3.292       0.222       
0.29302      3.24        0.216       
0.29321      2.775       0.198       
0.29339      3.411       0.199       
0.29358      3.358       0.207       
0.29376      3.251       0.196       
0.29395      3.264       0.208       
0.29414      3.507       0.218       
0.29432      3.525       0.207       
0.29451      3.134       0.203       
0.2947       3.645       0.223       
0.29488      3.179       0.197       
0.29507      3.385       0.21        
0.29526      3.622       0.218       
0.29545      3.48        0.205       
0.29563      3.251       0.196       
0.29582      3.384       0.2         
0.29601      3.39        0.205       
0.2962       3.033       0.189       
0.29639      3.31        0.2         
0.29658      3.396       0.206       
0.29677      3.303       0.206       
0.29695      3.199       0.202       
0.29714      3.501       0.229       
0.29733      3.719       0.238       
0.29752      3.158       0.196       
0.29771      3.446       0.2         
0.2979       3.393       0.196       
0.29809      3.426       0.204       
0.29828      3.298       0.182       
0.29847      3.317       0.187       
0.29866      3.304       0.185       
0.29885      3.227       0.176       
0.29905      3.367       0.182       
0.29924      3.339       0.188       
0.29943      3.664       0.198       
0.29962      3.161       0.183       
0.29981      3.187       0.183       
0.3          3.868       0.201       
0.3002       3.274       0.178       
0.30039      3.314       0.169       
0.30058      3.65        0.186       
0.30077      3.253       0.168       
0.30097      3.178       0.178       
0.30116      3.515       0.201       
0.30135      3.656       0.223       
0.30155      3.431       0.202       
0.30174      2.852       0.191       
0.30193      3.275       0.205       
0.30213      3.269       0.194       
0.30232      3.707       0.211       
0.30252      3.732       0.221       
0.30271      3.47        0.212       
0.3029       3.488       0.214       
0.3031       3.295       0.199       
0.3033       3.525       0.208       
0.30349      3.499       0.222       
0.30369      3.424       0.207       
0.30388      3.02        0.199       
0.30408      3.23        0.208       
0.30427      3.115       0.201       
0.30447      3.364       0.209       
0.30467      3.527       0.22        
0.30486      3.608       0.22        
0.30506      3.106       0.187       
0.30526      3.379       0.205       
0.30545      3.478       0.209       
0.30565      3.517       0.207       
0.30585      3.326       0.198       
0.30605      3.305       0.19        
0.30624      3.641       0.212       
0.30644      3.214       0.191       
0.30664      3.396       0.194       
0.30684      3.193       0.185       
0.30704      3.33        0.185       
0.30724      3.347       0.188       
0.30744      3.304       0.178       
0.30764      3.408       0.182       
0.30784      3.216       0.174       
0.30804      3.591       0.183       
0.30823      3.722       0.203       
0.30844      3.405       0.175       
0.30864      3.394       0.177       
0.30884      3.443       0.174       
0.30904      3.124       0.175       
0.30924      3.467       0.183       
0.30944      3.304       0.176       
0.30964      3.412       0.182       
0.30984      3.621       0.192       
0.31004      3.396       0.174       
0.31024      3.316       0.174       
0.31045      3.552       0.189       
0.31065      3.242       0.175       
0.31085      3.586       0.192       
0.31105      3.147       0.175       
0.31126      3.286       0.182       
0.31146      3.543       0.191       
0.31166      3.229       0.186       
0.31187      3.153       0.176       
0.31207      3.207       0.179       
0.31227      3.267       0.18        
0.31248      3.452       0.19        
0.31268      3.015       0.176       
0.31289      3.535       0.196       
0.31309      3.57        0.189       
0.3133       3.31        0.187       
0.3135       3.534       0.196       
0.31371      3.345       0.178       
0.31391      3.238       0.18        
0.31412      3.428       0.196       
0.31432      3.5         0.183       
0.31453      3.039       0.18        
0.31474      3.712       0.19        
0.31494      3.565       0.182       
0.31515      3.427       0.18        
0.31536      3.433       0.183       
0.31556      3.286       0.182       
0.31577      3.461       0.19        
0.31598      3.293       0.18        
0.31619      3.592       0.204       
0.31639      3.279       0.176       
0.3166       3.388       0.187       
0.31681      3.346       0.186       
0.31702      3.485       0.185       
0.31723      3.489       0.185       
0.31744      3.517       0.201       
0.31765      3.392       0.191       
0.31785      3.598       0.195       
0.31806      3.242       0.18        
0.31827      3.622       0.192       
0.31848      3.441       0.169       
0.31869      3.204       0.162       
0.3189       3.428       0.163       
0.31912      3.431       0.166       
0.31933      3.7         0.172       
0.31954      3.671       0.183       
0.31975      3.502       0.183       
0.31996      3.287       0.175       
0.32017      3.586       0.192       
0.32038      3.661       0.186       
0.3206       3.293       0.168       
0.32081      3.379       0.177       
0.32102      3.486       0.174       
0.32123      3.374       0.17        
0.32145      3.476       0.173       
0.32166      3.265       0.151       
0.32187      3.437       0.159       
0.32209      3.728       0.172       
0.3223       3.584       0.165       
