Literature data from R.W.Finlay et al (1993) (>5.29 MeV) and Perey et al (1972) (<5.29 MeV)
NatO(n,tot) 
MeV          Barns       Error (Barns)
4.76896      1.052       0.043       
4.7812       1.044       0.043       
4.79348      1.205       0.042       
4.80582      1.29        0.042       
4.8182       1.498       0.042       
4.83063      1.71        0.044       
4.84311      1.824       0.045       
4.85563      1.629       0.046       
4.86821      1.491       0.043       
4.88083      1.445       0.041       
4.8935       1.332       0.04        
4.90623      1.192       0.038       
4.919        1.078       0.037       
4.93182      1.036       0.037       
4.9447       1.057       0.035       
4.95762      0.953       0.035       
4.97059      0.981       0.035       
4.98362      0.961       0.035       
4.9967       0.969       0.036       
5.00983      1.047       0.037       
5.02301      1.143       0.036       
5.03624      1.32        0.038       
5.04952      1.371       0.038       
5.06286      1.584       0.04        
5.07625      1.763       0.044       
5.0897       1.998       0.046       
5.1032       2.177       0.049       
5.11675      2.446       0.053       
5.13036      2.411       0.053       
5.14402      2.029       0.05        
5.15773      1.629       0.046       
5.1715       1.455       0.041       
5.18533      1.352       0.04        
5.19921      1.237       0.038       
5.21315      1.222       0.038       
5.22714      1.216       0.036       
5.24119      1.193       0.035       
5.2553       1.102       0.035       
5.26947      1.116       0.033       
5.28369      1.135       0.034       

5.29253      1.06204     0.0002629   
5.34572      1.02645     0.0002146   
5.39945      1.01323     0.0002222   
5.45371      0.958728    0.0002629   
5.50852      1.02039     0.0002621   
5.56389      1.29755     0.0002458   
