Literature data from R. B. Schwartz (1973)
Natural Ni (n,tot)
MeV       Barns     Error(Barns)
2.021     2.873     0.04370
2.023     2.896     0.04563
2.025     2.895     0.04430
2.027     2.923     0.04376
2.029     2.911     0.04342
2.031     2.993     0.04583
2.033     3.186     0.04984
2.035     3.176     0.04867
2.037     3.254     0.04934
2.039     3.332     0.05097
2.041     3.339     0.05022
2.043     3.207     0.04990
2.045     3.280     0.04988
2.047     3.107     0.05171
2.049     3.087     0.04855
2.051     3.062     0.04779
2.053     3.057     0.04609
2.055     3.067     0.04615
2.057     3.000     0.04541
2.060     3.062     0.04647
2.062     3.140     0.04538
2.064     3.262     0.04955
2.066     3.190     0.04848
2.068     3.210     0.04929
2.070     3.144     0.04883
2.072     3.089     0.04838
2.074     2.970     0.04818
2.076     2.920     0.04682
2.078     2.897     0.04650
2.080     2.847     0.04523
2.082     2.864     0.04542
2.084     2.853     0.04720
2.086     2.769     0.04561
2.088     2.835     0.04465
2.090     2.828     0.04482
2.093     2.837     0.04510
2.095     2.790     0.04423
2.097     2.924     0.04568
2.099     2.919     0.04487
2.101     2.806     0.04224
2.103     2.643     0.03899
2.105     2.641     0.04022
2.107     2.565     0.03805
2.109     2.714     0.04067
2.112     2.784     0.04144
2.114     2.854     0.04298
2.116     2.928     0.04427
2.118     2.962     0.04449
2.120     3.008     0.04512
2.122     3.015     0.04637
2.124     3.117     0.04739
2.127     3.282     0.05204
2.129     3.344     0.05420
2.131     3.534     0.05795
2.133     3.520     0.05613
2.135     3.443     0.05618
2.137     3.459     0.05639
2.139     3.387     0.05542
2.142     3.354     0.05368
2.144     3.424     0.05522
2.146     3.340     0.05290
2.148     3.322     0.05256
2.150     3.279     0.05122
2.153     3.186     0.04946
2.155     2.975     0.04709
2.157     2.800     0.04444
2.159     2.715     0.04197
2.161     2.667     0.04227
2.164     2.582     0.03969
2.166     2.634     0.03933
2.168     2.695     0.04053
2.170     2.618     0.04081
2.172     2.615     0.03986
2.175     2.771     0.04157
2.177     2.731     0.04076
2.179     2.715     0.04137
2.181     2.828     0.04254
2.183     3.027     0.04608
2.186     3.146     0.05036
2.188     3.167     0.04934
2.190     3.099     0.04294
2.192     3.090     0.04575
2.195     2.946     0.04579
2.197     2.924     0.04500
2.199     2.957     0.04454
2.201     2.981     0.04690
2.204     2.908     0.04580
2.206     2.908     0.04471
2.208     2.878     0.04462
2.211     2.735     0.04256
2.213     2.808     0.04368
2.215     2.864     0.04523
2.217     2.831     0.04346
2.220     2.789     0.04174
2.222     2.766     0.04305
2.224     2.749     0.04256
2.227     2.727     0.04319
2.229     2.856     0.04466
2.231     2.971     0.04812
2.234     3.229     0.04678
2.236     3.161     0.05171
2.238     3.181     0.05285
2.241     3.220     0.05079
2.243     2.988     0.04679
2.245     2.916     0.04623
2.248     2.988     0.04834
2.250     2.978     0.04789
2.252     2.960     0.04831
2.255     2.956     0.04609
2.257     3.005     0.04781
2.259     2.903     0.04639
2.262     2.999     0.04678
2.264     3.030     0.04739
2.266     3.125     0.05234
2.269     3.220     0.05168
2.271     3.297     0.05397
2.273     3.083     0.05054
2.276     3.187     0.05158
2.278     2.969     0.04749
2.280     2.938     0.04736
2.283     2.893     0.04502
2.285     2.887     0.04725
2.288     2.944     0.04485
2.290     2.937     0.04656
2.292     3.041     0.04801
2.295     3.136     0.05002
2.297     3.165     0.04973
2.300     3.165     0.05028
2.302     3.139     0.05018
2.305     3.188     0.05212
2.307     3.252     0.05255
2.309     3.249     0.05348
2.312     3.259     0.05271
2.314     3.322     0.05503
2.317     3.426     0.05655
2.319     3.317     0.05333
2.322     3.250     0.05246
2.324     3.170     0.05089
2.326     3.106     0.04846
2.329     3.197     0.04933
2.331     3.079     0.04741
2.334     2.979     0.04708
2.336     3.119     0.04770
2.339     3.031     0.04830
2.341     3.058     0.04716
2.344     3.062     0.04747
2.346     3.076     0.04753
2.349     3.113     0.04844
2.351     3.127     0.04948
2.354     3.372     0.05427
2.356     3.439     0.05434
2.359     3.470     0.05551
2.361     3.390     0.05245
2.364     3.327     0.05239
2.366     3.212     0.04894
2.369     3.306     0.04835
2.371     2.997     0.04491
2.374     3.019     0.04455
2.377     2.872     0.04051
2.379     2.750     0.04007
2.382     2.757     0.04019
2.384     2.780     0.03984
2.387     2.939     0.04355
2.389     2.939     0.04438
2.392     2.968     0.04471
2.394     3.108     0.04840
2.397     3.118     0.04647
2.400     3.135     0.04661
2.402     3.108     0.04753
2.405     3.275     0.05244
2.407     3.406     0.05408
2.410     3.105     0.05038
2.412     3.019     0.04714
2.415     3.006     0.04730
2.418     2.964     0.04640
2.420     2.926     0.04646
2.423     2.819     0.04419
2.425     2.785     0.04252
2.428     2.844     0.04364
2.431     2.942     0.04543
2.433     3.066     0.05417
2.436     3.264     0.05418
2.438     3.260     0.05135
2.441     3.322     0.05278
2.444     3.386     0.05496
2.447     3.442     0.05511
2.449     3.364     0.05397
2.452     3.337     0.05340
2.454     3.355     0.05354
2.457     3.392     0.05377
2.460     3.387     0.05322
2.463     3.383     0.05402
2.465     3.227     0.05223
2.468     3.121     0.05010
2.470     3.027     0.04644
2.473     3.038     0.04751
2.476     3.072     0.04737
2.479     2.854     0.04443
2.481     2.807     0.04534
2.484     2.697     0.03960
2.487     2.586     0.04133
