Literature data from J.A. Harvey et al (1991) (to 5.29 MeV); R.W. Finlay et al (1993) (>5.29 MeV)
NatN(n,tot)
MeV        Barns       Error (Barns)
2.5239     1.4031      0.044466 
2.5244     1.377       0.04488  
2.5275     1.4204      0.013952 
2.533      1.4268      0.014292 
2.5385     1.409       0.013985 
2.5441     1.4074      0.014163 
2.5497     1.4175      0.014359 
2.5553     1.4337      0.014179 
2.5609     1.4207      0.014323 
2.5666     1.419       0.014227 
2.5722     1.4273      0.014204 
2.5779     1.4078      0.0142   
2.5836     1.4249      0.014437 
2.5894     1.4025      0.014407 
2.5951     1.4125      0.01422  
2.6009     1.4043      0.014021 
2.6066     1.3976      0.014045 
2.6124     1.4134      0.014058 
2.6182     1.4231      0.014125 
2.6241     1.4168      0.014341 
2.6299     1.4134      0.014038 
2.6358     1.421       0.014034 
2.6402     1.3985      0.020152 
2.6432     1.4087      0.020233 
2.6461     1.3939      0.020108 
2.6491     1.4293      0.020122 
2.6521     1.4307      0.020163 
2.655      1.419       0.020265 
2.658      1.4028      0.020277 
2.661      1.4027      0.02058  
2.664      1.4276      0.020702 
2.667      1.3868      0.020886 
2.67       1.4037      0.020784 
2.673      1.3725      0.020675 
2.676      1.4174      0.020837 
2.679      1.4343      0.020989 
2.682      1.4375      0.020644 
2.685      1.427       0.020774 
2.6881     1.4145      0.020778 
2.6911     1.4         0.020955 
2.6941     1.4657      0.021039 
2.6972     1.4853      0.02096  
2.7002     1.4767      0.020999 
2.7033     1.5641      0.021188 
2.7064     1.4873      0.021269 
2.7094     1.5287      0.021121 
2.7125     1.4426      0.021183 
2.7156     1.4501      0.021    
2.7186     1.3746      0.021079 
2.7217     1.4078      0.020929 
2.7248     1.3695      0.020972 
2.7279     1.3186      0.021252 
2.731      1.3348      0.021169 
2.7341     1.2988      0.02084  
2.7372     1.2681      0.020681 
2.7403     1.2736      0.020636 
2.7435     1.2302      0.020777 
2.7466     1.2358      0.020753 
2.7497     1.2375      0.020509 
2.7544     1.2077      0.014387 
