Literature data from C. M. Perey (1993)
Ni-58 (n,tot)
MeV       Barns       Error(Barns)
2.574     2.6536      0.10121      
2.571     3.2521      0.10352      
2.568     3.3602      0.10501      
2.564     3.6329      0.10617      
2.561     3.6008      0.10395      
2.557     4.0123      0.10622      
2.554     4.0097      0.10622      
2.551     3.0857      0.1047       
2.547     3.5118      0.1055       
2.544     2.3169      0.09896      
2.541     2.9458      0.1023       
2.537     2.8213      0.10136      
2.534     2.936       0.10347      
2.531     3.8904      0.10701      
2.527     3.9744      0.10708      
2.524     2.6282      0.10125      
2.521     2.2918      0.099605     
2.517     4.0312      0.10681      
2.514     2.2832      0.097911     
2.511     2.7111      0.10002      
2.508     3.3556      0.10382      
2.504     2.5001      0.10022      
2.501     3.1929      0.10031      
2.498     3.5652      0.10237      
2.495     4.0684      0.10494      
2.491     3.1904      0.099945     
2.488     2.6514      0.09774      
2.485     2.0212      0.094843     
2.482     2.2695      0.095362     
2.478     2.2047      0.096079     
2.475     3.4138      0.10193      
2.472     3.6376      0.10192      
2.469     3.0821      0.098285     
2.466     3.2063      0.099932     
2.462     2.6765      0.097114     
2.459     3.3943      0.099531     
2.456     3.8028      0.10131      
2.453     3.6977      0.10071      
2.450     2.9656      0.098327     
2.446     3.285       0.099767     
2.443     4.0347      0.10376      
2.440     4.2334      0.10431      
2.437     3.5689      0.099925     
2.434     3.3044      0.097574     
2.431     3.0134      0.098428     
2.428     3.0574      0.096771     
2.425     2.8004      0.095717     
2.421     2.2639      0.092984     
2.418     2.8061      0.095869     
2.415     2.6875      0.096699     
2.412     3.6474      0.10005      
2.409     3.052       0.097582     
2.406     3.459       0.098688     
2.403     2.7594      0.095998     
2.400     4.6199      0.10516      
2.397     3.1794      0.098337     
2.394     1.9932      0.091334     
2.391     3.5796      0.099457     
2.388     2.8815      0.095555     
2.385     3.6052      0.099665     
2.381     2.5283      0.092876     
2.378     1.9541      0.093094     
2.375     2.0951      0.093049     
2.372     3.4925      0.097776     
2.369     2.8135      0.094933     
2.366     3.9934      0.1007       
2.363     3.7162      0.098988     
2.360     3.8525      0.097721     
2.357     3.0787      0.09436      
2.354     3.5458      0.09877      
2.351     3.3411      0.097111     
2.348     3.9378      0.099707     
2.345     2.1959      0.092083     
2.343     2.4782      0.092474     
2.340     3.1145      0.094618     
2.337     3.0285      0.093512     
2.334     5.0663      0.10328      
2.331     3.1133      0.093085     
2.328     2.6341      0.092238     
2.325     2.7592      0.092555     
2.322     3.5998      0.095261     
2.319     3.8735      0.097655     
2.316     2.9981      0.093255     
2.313     3.9864      0.097749     
2.310     4.8053      0.10335      
2.307     2.8424      0.093527     
2.305     2.4991      0.092263     
2.302     2.8365      0.094088     
2.299     4.3174      0.098896     
2.296     3.5225      0.094865     
2.293     2.4022      0.090008     
2.290     4.5396      0.099539     
2.287     3.3286      0.093387     
2.284     3.2098      0.092263     
2.282     2.4197      0.089512     
2.279     3.1893      0.094054     
2.276     2.7985      0.091378     
2.273     3.9091      0.096412     
2.270     3.2767      0.093512     
2.267     3.0941      0.092809     
2.265     3.6084      0.093471     
2.262     3.3522      0.09298      
2.259     3.8415      0.095656     
2.256     1.6931      0.086383     
2.253     4.0485      0.095315     
2.251     2.9822      0.091496     
2.248     3.1114      0.091501     
2.245     2.9636      0.091336     
2.242     3.3802      0.092292     
2.240     2.36        0.089407     
2.237     3.6351      0.093139     
2.234     3.5717      0.094212     
2.231     4.864       0.099296     
2.229     3.3117      0.091901     
2.226     2.7176      0.089868     
2.223     2.5454      0.089021     
2.220     2.4437      0.088058     
2.218     2.8781      0.089209     
2.215     3.2758      0.091277     
2.212     3.7636      0.093798     
2.209     3.3614      0.092274     
2.207     1.7961      0.085377     
2.204     2.5277      0.087997     
2.201     3.2411      0.09129      
2.199     3.4535      0.091664     
2.196     2.5435      0.088263     
2.193     3.521       0.091535     
2.191     3.0072      0.090051     
2.188     2.4965      0.087983     
2.185     4.2172      0.095716     
2.183     3.0498      0.089704     
2.180     4.2035      0.094152     
2.177     1.9094      0.084108     
2.175     2.3059      0.085892     
2.172     1.6322      0.083682     
2.169     2.2703      0.086053     
2.167     2.216       0.085126     
2.164     1.8369      0.084854     
2.161     3.1385      0.08891      
2.159     2.4675      0.086018     
2.156     1.9494      0.083964     
2.154     2.8585      0.088114     
2.151     3.4583      0.090049     
2.148     4.588       0.095808     
2.146     3.1791      0.088344     
2.143     3.8151      0.092255     
2.141     5.2616      0.098763     
2.138     3.8151      0.09168      
2.135     2.4618      0.085714     
2.133     3.9709      0.092327     
2.130     4.3499      0.095507     
2.128     3.7006      0.091793     
2.125     3.4253      0.089458     
2.123     4.2173      0.094193     
2.120     2.2269      0.085263     
2.118     3.2737      0.089564     
2.115     1.9085      0.084372     
2.112     1.7599      0.083512     
2.110     2.8162      0.086894     
2.107     4.0789      0.09215      
2.105     1.7393      0.083168     
2.102     1.9255      0.081837     
2.100     2.942       0.086355     
2.097     2.7695      0.086492     
2.095     3.3929      0.088635     
2.092     3.3571      0.086398     
2.090     2.4339      0.083955     
2.087     2.2768      0.083089     
2.085     3.7422      0.089162     
2.082     2.1452      0.082691     
2.080     3.0694      0.086232     
2.077     2.4118      0.083306     
2.075     1.9854      0.081228     
2.073     2.8264      0.085033     
2.070     4.0771      0.090404     
2.068     3.2883      0.08644      
2.065     3.3201      0.086699     
2.063     3.2768      0.088915     
2.060     4.5218      0.093295     
2.058     3.1904      0.087376     
2.055     3.8907      0.090134     
2.053     2.2262      0.082327     
2.051     3.107       0.086289     
2.048     3.1941      0.086042     
2.046     3.1169      0.085179     
2.043     3.8065      0.087498     
2.041     4.7484      0.092915     
2.039     2.4973      0.082826     
2.036     4.5939      0.091906     
2.034     4.0544      0.090569     
2.031     2.6318      0.084372     
2.029     2.601       0.084876     
2.027     4.0088      0.090934     
2.024     2.401       0.083898     
2.022     2.7002      0.083356     
2.019     3.5892      0.086893     
2.017     3.7175      0.087822     
2.015     2.865       0.083665     
2.012     2.2857      0.081567     
2.010     2.6665      0.082533     
2.008     2.7124      0.082531     
2.005     2.2398      0.080508     
2.001     2.5899      0.075733     
