#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.99854       2.5866     0.053925  # 2001,W.P.Abfalterer+     ## 13794002
        1.0001       2.6385     0.054641  # 2001,W.P.Abfalterer+     ## 13794002
        1.0017       2.5744     0.054108  # 2001,W.P.Abfalterer+     ## 13794002
        1.0032       2.5306     0.053314  # 2001,W.P.Abfalterer+     ## 13794002
        1.0048       2.5072     0.053544  # 2001,W.P.Abfalterer+     ## 13794002
        1.0064       2.4045     0.053727  # 2001,W.P.Abfalterer+     ## 13794002
         1.008       2.5141     0.054602  # 2001,W.P.Abfalterer+     ## 13794002
        1.0095       2.5531     0.056874  # 2001,W.P.Abfalterer+     ## 13794002
        1.0111       2.4421      0.05333  # 2001,W.P.Abfalterer+     ## 13794002
        1.0127       2.4444     0.054106  # 2001,W.P.Abfalterer+     ## 13794002
        1.0143       2.5516     0.057255  # 2001,W.P.Abfalterer+     ## 13794002
        1.0159        2.497     0.055904  # 2001,W.P.Abfalterer+     ## 13794002
        1.0175       2.4368     0.053103  # 2001,W.P.Abfalterer+     ## 13794002
        1.0191       2.5655     0.055166  # 2001,W.P.Abfalterer+     ## 13794002
        1.0207       2.4542     0.052481  # 2001,W.P.Abfalterer+     ## 13794002
        1.0224       2.5908     0.053729  # 2001,W.P.Abfalterer+     ## 13794002
         1.024       2.4974     0.052341  # 2001,W.P.Abfalterer+     ## 13794002
        1.0256       2.5563     0.053073  # 2001,W.P.Abfalterer+     ## 13794002
        1.0272        2.548     0.052216  # 2001,W.P.Abfalterer+     ## 13794002
        1.0288       2.4666     0.051048  # 2001,W.P.Abfalterer+     ## 13794002
        1.0305       2.5409     0.050869  # 2001,W.P.Abfalterer+     ## 13794002
        1.0321       2.4742     0.050029  # 2001,W.P.Abfalterer+     ## 13794002
        1.0338       2.4908      0.04955  # 2001,W.P.Abfalterer+     ## 13794002
        1.0354       2.4571     0.048458  # 2001,W.P.Abfalterer+     ## 13794002
        1.0371        2.463     0.047524  # 2001,W.P.Abfalterer+     ## 13794002
        1.0387       2.4264     0.046707  # 2001,W.P.Abfalterer+     ## 13794002
        1.0404       2.4227     0.046209  # 2001,W.P.Abfalterer+     ## 13794002
         1.042       2.4407     0.046436  # 2001,W.P.Abfalterer+     ## 13794002
        1.0437       2.5307     0.047203  # 2001,W.P.Abfalterer+     ## 13794002
        1.0454       2.4615     0.046974  # 2001,W.P.Abfalterer+     ## 13794002
         1.047       2.4372     0.045924  # 2001,W.P.Abfalterer+     ## 13794002
        1.0487       2.5273     0.046297  # 2001,W.P.Abfalterer+     ## 13794002
        1.0504       2.4596     0.045036  # 2001,W.P.Abfalterer+     ## 13794002
        1.0521       2.5819     0.047134  # 2001,W.P.Abfalterer+     ## 13794002
        1.0538       2.4633     0.043834  # 2001,W.P.Abfalterer+     ## 13794002
        1.0555       2.4304     0.043683  # 2001,W.P.Abfalterer+     ## 13794002
        1.0572       2.4298     0.043427  # 2001,W.P.Abfalterer+     ## 13794002
        1.0589       2.4888     0.043282  # 2001,W.P.Abfalterer+     ## 13794002
        1.0606       2.5161     0.044403  # 2001,W.P.Abfalterer+     ## 13794002
        1.0623       2.4112     0.043198  # 2001,W.P.Abfalterer+     ## 13794002
         1.064       2.4076     0.041821  # 2001,W.P.Abfalterer+     ## 13794002
        1.0657        2.451      0.04283  # 2001,W.P.Abfalterer+     ## 13794002
        1.0674       2.4139     0.041675  # 2001,W.P.Abfalterer+     ## 13794002
        1.0692       2.3761     0.041647  # 2001,W.P.Abfalterer+     ## 13794002
        1.0709       2.4891     0.043105  # 2001,W.P.Abfalterer+     ## 13794002
        1.0726       2.5085     0.041948  # 2001,W.P.Abfalterer+     ## 13794002
        1.0744       2.4504      0.04041  # 2001,W.P.Abfalterer+     ## 13794002
        1.0761        2.549     0.042945  # 2001,W.P.Abfalterer+     ## 13794002
        1.0778       2.4781     0.040512  # 2001,W.P.Abfalterer+     ## 13794002
